retail,categoria,precio_internet,comentario,rating
linio,tecnologia,209990.0,            todo bien Lo unico que como es modelo nuevo no hay carcasas ni laminas en el mercado local          ,5.0
linio,tecnologia,239990.0,"            Llego muy rapido, ahora a ver como funciona          ",5.0
linio,tecnologia,154990.0,"            algunos problemas con la entrega, por lo dema todo excelente          ",5.0
linio,hogar,119990.0,"            es linda , muy comoda y facil de armar cumplio las expectativas          ",5.0
linio,hogar,149990.0,            muy basica para el precio          ,5.0
linio,hogar,419990.0,            Buen producto          ,5.0
linio,hogar,239990.0,"            Buen producto, silencioso, cumple con su funcion          ",5.0
linio,hogar,291900.0,"            Tardo en llegar pero si eres paciente vale la pena, porque te vas a ahorrar mas de 100 mil pesos que comprarla en una tienda chilena La aspiradora es una de las mejores en relacion precio-calidad          ",5.0
linio,hogar,309990.0,            excelente          ,5.0
linio,hogar,329990.0,            no sube a las alfombras tipo shagy          ,5.0
linio,hogar,329990.0,            me gusto el precio calidad          ,5.0
linio,hogar,289990.0,            me vino abollada          ,5.0
linio,tecnologia,139990.0,            Un sonido excelente Muy buenos bajos No me gusto la forma de interactuar con ellos Como contestar o cambiar la cencelacion de ruido Pero suenan increibles          ,5.0
linio,videojuegos,154990.0,"            algunos problemas con la entrega, por lo dema todo excelente          ",5.0
linio,belleza,22990.0,            rapido y responsable          ,5.0
linio,belleza,80990.0,            Perfecto en la entrega          ,5.0
linio,belleza,43800.0,            buenisimos          ,5.0
linio,belleza,46000.0,"            Producto bueno, el envio malo fueron a entregar a la direccion y supuestamente no la encontraron y tampoco se dieron el tiempo de llamar          ",5.0
linio,belleza,18990.0,            Buenisimo          ,5.0
linio,belleza,29990.0,"            no tiene buena fijacion, da la impresion que no es el original!! no me gusto, desilucion          ",3.0
linio,belleza,12990.0,            todo bien          ,5.0
linio,belleza,25990.0,"            Llego antes de lo esperado, buen producto y precio          ",5.0
linio,belleza,19600.0,"            Me encanto, buena relacion precio calidad y rapidez en la entrega          ",5.0
linio,belleza,46000.0,            muy biem happy!!!          ,5.0
linio,belleza,32790.0,            Parece alternativo          ,5.0
linio,belleza,22990.0,            Aunque demoro el empaque era seguro y venia muy bien          ,5.0
linio,belleza,51500.0,            buen trabajo          ,5.0
linio,belleza,25100.0,"            Un aroma dulce esquisito, y si se logra oler esa nota de maracuya lejana, me llego antes de la fecha estimada, muy satisfecha          ",5.0
linio,belleza,31500.0,            Rapido muy bueno          ,1.0
linio,belleza,65000.0,            Tiempo de entrega          ,5.0
linio,belleza,12990.0,"            muy buen producto, llego enseguida          ",1.0
linio,belleza,69990.0,"            gracias, todo super rapido y el perfume genial          ",5.0
linio,belleza,36999.0,            Muy rico aroma          ,5.0
linio,belleza,25990.0,            el embase no venia con su plastico lo cual da enterder que lo abrieron          ,5.0
linio,belleza,47990.0,"            Llego en 2 dias, excelente servicio          ",5.0
linio,belleza,21800.0,            Excelente y rapida la entrega          ,5.0
linio,belleza,61990.0,            Excelente me encanto el perfume y lo rapido que llego          ,5.0
linio,belleza,52490.0,            excelente aroma          ,5.0
linio,tecnologia,559990.0,"            El telefono venia bien Funcionando completamente Eso si, venia con un detalle en una de ellas esquinas de la pantalla No era raspadura o similar, sino que un area de pixeles quemados No es el ideal, pero en general esta bien          ",3.0
linio,tecnologia,499990.0,            El equipo muy bueno e incluso llego antes de la fecha  pero el envase deja mucho que desear ya ni siquiera viene en su caja          ,3.0
linio,tecnologia,69990.0,            Funciona bien y llego muy rapido Lo recomiendo          ,5.0
linio,tecnologia,239990.0,            Llego super rapido          ,5.0
linio,tecnologia,154990.0,            exelente producto me llego el mismo dia un audio espactacular ya se a para juegos o peliculas una pasada comodos muy comodos en las orejas          ,5.0
linio,tecnologia,144990.0,"            Muy buen mouse, era mejor de lo esperado en calidad          ",5.0
linio,hogar,494990.0,            Excelente cama pero un poco alta y las bases eran las mismas para poner el respaldo los tornillos          ,5.0
linio,hogar,109990.0,            la ame!          ,5.0
linio,hogar,419990.0,            Bueno producto          ,5.0
linio,hogar,291900.0,"            Me falto comentar que los sensores funcionan muy bien, de caida y de choque          ",5.0
linio,hogar,309990.0,            Me gusto mucho el servicio          ,5.0
linio,hogar,429990.0,            falta ocupar  Y ver comofunciona          ,5.0
linio,hogar,69990.0,            Buena Extra:Llego antes de lo esperado          ,5.0
linio,tecnologia,99290.0,"            exelente producto llego 10 dias antes de la fecha de entrega estimada, excelente calidad muy buen producto muchas gracias          ",5.0
linio,tecnologia,20990.0,            Llego muy rapido          ,5.0
linio,tecnologia,139990.0,            malos          ,5.0
linio,videojuegos,154990.0,            exelente producto me llego el mismo dia un audio espactacular ya se a para juegos o peliculas una pasada comodos muy comodos en las orejas          ,5.0
linio,videojuegos,399990.0,"            Buen producto, pero el despacho muy ineficiente, no contestan los telefonos ni correos, tuve que ir a buscarlo yo mismo, pese a que cancele el envio, en fin, lamentablemente cada vez se desmejora considerablemente el servicio en Linio          ",5.0
linio,videojuegos,49990.0,"            excelente, cumple con el plazo          ",5.0
linio,videojuegos,144990.0,"            Muy buen mouse, era mejor de lo esperado en calidad          ",5.0
linio,belleza,44990.0,            Pronta entrega y rico aroma          ,5.0
linio,belleza,22990.0,            llego en perfecto  estado y llego muy rapido   el perfume es riquisimo          ,5.0
linio,belleza,43800.0,"            No tiene fijacion, el precio no lo vale          ",5.0
linio,belleza,36490.0,            todo bien          ,5.0
linio,belleza,12990.0,            Nada mad que agregar Me entregaron un producto que venia abierto La tapa no tenia el sello          ,5.0
linio,belleza,29870.0,"            Rico aroma, era lo que esperaba          ",5.0
linio,belleza,21990.0,"            Muy rapida la entrega del producto, llego antes de la fecha indicada           ",5.0
linio,belleza,33990.0,            bien llego lo comprado          ,5.0
linio,belleza,54490.0,"            Muy buen perfume, tiene de entrada un aroma muy fuerte a menta pero de manera agradable, ademas su duracion es increible me la aplique ayer a medio dia, me bane 2 veces y el perfume aun esta en mi piel a dia de hoy, increible!          ",5.0
linio,belleza,29990.0,            El aroma no esta mal pero estoy segura que es una imitacion ya que no dura nada luego de aplicarlo y la caja y envase venian con mucho aroma antes de abrirlo          ,5.0
linio,belleza,51500.0,"            perfume super dulce , me marea          ",5.0
linio,belleza,65000.0,"            Todo en buenisimo estado, aroma exquisitoexcelente compra          ",3.0
linio,belleza,69990.0,            me encanto          ,5.0
linio,belleza,53000.0,            Todo bien          ,5.0
linio,belleza,53000.0,            Excelente producto          ,5.0
linio,belleza,21800.0,            me encanto          ,5.0
linio,belleza,45790.0,"            Es una fragancia interesante, fresca, algo dulce  Una fragancia que recomiendo          ",5.0
linio,tecnologia,559990.0,"            Hola compre un iphone xs de 256 Lo recibi ayer , el iphone lo encendi y al rato se apaga y reinicia solo, lo meti al itunes y sale error 9 , lei bastante y corresponde al problema en la placa logica          ",5.0
linio,tecnologia,499990.0,            Como Saben Acabo De Comprar El Iphone XS MAX Y La Verdad Espero Que Vena En Buen Estado Se Que No Vendra Como Nuevo Pero Espero Que Venga En Un Buen Estado Ya Que El PRECIO Es Elevado Estare Comentando Nuevamente Cuando Me Llegue El Celular Para Decirles Si Es Buena Opcion O No Por Eso Mi Puntuacion Hasta Ahora Espero Ansioso          ,5.0
linio,tecnologia,199990.0,"            Llego antes de lo informado, todo excelente          ",5.0
linio,tecnologia,239990.0,"            Al parecer muy bien el equipo, lo estoy probando          ",5.0
linio,tecnologia,19990.0,            en general suenan muy bien  solo que el cable lo encuentro muy delgado y genera preocupacion          ,5.0
linio,tecnologia,84990.0,            simplemente Razer          ,5.0
linio,tecnologia,9990.0,            buen producto          ,5.0
linio,hogar,239990.0,"            Funciona bien, pero esta muy atras de la tecnologia y rapidez de las aspiradoras robot          ",5.0
linio,hogar,291900.0,"            Contento con la aspiradora, silenciosa cuando se requiere (4 modos de aspirado), precio vs calidad encuentro esta bien 340 dolares aproxFacil de operar, como cualquiera aspiradora se puede activar solo con un boton o ocuparla con una aplicacion completisima donde se puede hacer de todo, activar, configurar, regular volumen, desactivar funciones, ver mapa (que hace despues de como 20 veces de aspirado), programarla, detenerla, ir a home, regular intensidad de aspirado, intensidad de agua para la mopaEs muy facil acceder a sus partes para limpiarlas (rodillo, escobilla, mopa, filtro, y contenedor de basuraLa funcion de la mopa, (creo que al igual de todas las aspiradoras) es basica, es para contener polvo, no para trapearLa manera de aspirado es ordenada, vuelve a su cargador, esquiva bien los objetos y se enreda con cables y se traban objetos, creo que debe ser normal para las aspiradorasOtro punto a favor es encontrar repuestos filtros, escobillas, rodillo etc, facilmente y baratos por internetFacil limpiar el contenedor de basuraPunto en contra, se enredan muchos pelos y son dificiles de sacar (Creo que puede ser en cualquier aspiradora)          ",5.0
linio,hogar,329990.0,            Muy buena          ,5.0
linio,hogar,219990.0,"            Excelente compra, absolutamente recomendable, es muy util y de facil uso          ",5.0
linio,videojuegos,19990.0,            en general suenan muy bien  solo que el cable lo encuentro muy delgado y genera preocupacion          ,5.0
linio,videojuegos,49990.0,            Todo          ,5.0
linio,videojuegos,84990.0,            simplemente Razer          ,5.0
linio,belleza,80990.0,            servicio expresofabuloso          ,5.0
linio,belleza,44790.0,            Muy rapido          ,5.0
linio,belleza,28400.0,"            vendedor confiable,producto original la verdad me encanto y cabe resaltar que es una fragancia para el verano y que concentra en un olor a lima-limon muy fresco olor a limpio muy conforme gracias!!          ",5.0
linio,belleza,18000.0,            Cumplieron con el tiempo de entrega          ,5.0
linio,belleza,32790.0,"            No se si es original, ya que el perfume que me llego no tiene el dosificador de donna karan tipico (que es la misma tapa redonda) A menos q lo hayan cambiado, no seria el verdadero          ",5.0
linio,belleza,33990.0,"            Llego muy, rapido          ",5.0
linio,belleza,28400.0,"            Son muy eficiente recibi el producto antes de lo debido, recomendados 100 por ciento          ",5.0
linio,belleza,51500.0,            me encanto          ,3.0
linio,belleza,25100.0,            Rico aroma          ,5.0
linio,belleza,37490.0,            Impeque          ,5.0
linio,belleza,12990.0,"            buen porte, buena calidad y precio          ",5.0
linio,belleza,28999.0,            buen aroma y fijacion          ,5.0
linio,belleza,69990.0,            Excelente  tiempo de entrega          ,5.0
linio,belleza,25990.0,"            Frangacia Dulce, muy buena          ",5.0
linio,belleza,31990.0,            Excelente servicio          ,5.0
linio,belleza,21800.0,            Entrega en el tiempo acordado          ,5.0
linio,belleza,61990.0,            Llegue en un tiempo menor al acordado          ,5.0
linio,tecnologia,559990.0,            todo bien casi nuevo el iphone          ,3.0
linio,tecnologia,69990.0,            buen producto para lo basico          ,5.0
linio,tecnologia,19990.0,"            No son malos, pero no valen el precio normal Tengo otros fonos de 40 a 50 lucas y la diferencia es abismal          ",3.0
linio,tecnologia,77990.0,"            Llego en solo dos dias, buen producto!          ",5.0
linio,hogar,119990.0,            muy buena silla lo unico es un poco pequena para los muslos abajo es mas para gente flaquita o ninos yo tengo que ponerle cojines          ,5.0
linio,hogar,239990.0,            Me sorprenden los buenos resultados de la braava          ,5.0
linio,hogar,291900.0,"            Genial, apenas comenzo la carga ya estaba configurandose en la app y una vez cargado comenzo a aspirar y mopar Facil instalacion y configuracion          ",5.0
linio,hogar,219990.0,"            Perfecta para mantener la casa sin polvo, hay rincones que no alcanza a limpiar (esquinas)pero otros como bajo los sillones y bajo la cama por los que pasa perfecto          ",5.0
linio,tecnologia,139990.0,            Cancelan el sonido pero a costa de ser incomodos y hacen doler los oidos          ,5.0
linio,videojuegos,19990.0,"            No son malos, pero no valen el precio normal Tengo otros fonos de 40 a 50 lucas y la diferencia es abismal          ",3.0
linio,videojuegos,84900.0,"            Todo ok, producto funciona perfectamente          ",5.0
linio,videojuegos,49990.0,            Muy bueno el juegoEl unico inconveniente fue la entregaEl vendedor se demoro mucho en despacharlo lo que provoco que se demorar mas de la cuenta en llegar          ,5.0
linio,videojuegos,77990.0,"            Llego en solo dos dias, buen producto!          ",5.0
linio,belleza,80990.0,            Excelente producto          ,5.0
linio,belleza,29870.0,"            Llego de acuerdo a las fechas pactadas, llego en un envase protector muy bueno En impecables condiciones y buena calidad Muchas gracias!!          ",5.0
linio,belleza,23990.0,            Perfecto rEntrega rapida          ,5.0
linio,belleza,25990.0,"            Baja permanencia del aroma, no lo compraria otra vez          ",5.0
linio,belleza,54490.0,            Exelente y rapido          ,5.0
linio,belleza,66990.0,            Botella grande super economico ya q minimo son 90 lukas y gran aroma          ,5.0
linio,belleza,45990.0,            bien          ,5.0
linio,belleza,25990.0,            Solo el repartidor de la zona  Pasado para la punta y patudo           ,5.0
linio,belleza,32790.0,            Muy rico y llego muy rapido          ,5.0
linio,belleza,71300.0,            muy buena          ,3.0
linio,belleza,59990.0,            Llego en perfectas condiciones en tiempo esperado          ,5.0
linio,belleza,48999.0,            Rapido entrega          ,5.0
linio,belleza,45790.0,            Excelente producto Llego en el tiempo indicado Totalmente recomendable          ,5.0
linio,tecnologia,499990.0,"            Me llego muy rapido,3 dias antes, todo en perfecto estado, sin fallas ni fallas hasta el momento          ",5.0
linio,tecnologia,69990.0,            no me satisface el producto          ,5.0
linio,tecnologia,239990.0,            Excelente  equipome encanto          ,5.0
linio,tecnologia,77990.0,"            Producto en excelente estado, me llego muy rapido, en solo dos dias Muy buen mouse!          ",5.0
linio,hogar,119990.0,            excelente          ,5.0
linio,hogar,149990.0,"            Es facil de armar, comoda y super firme          ",5.0
linio,hogar,369990.0,            Excelente feliz con mi compra  gracias linio impecable servicio          ,5.0
linio,hogar,291900.0,"            Llego antes del tiempo indicado, perfectamente sellado, la aspiradora es muy buena, deja muy limpio todo Tambien hace un mapa en la app para luego limpiar mas eficientemente y poder seleccionar ciertas zonas a limpiar Recomendada          ",5.0
linio,hogar,69990.0,            Es muy facil de usar          ,5.0
linio,hogar,429990.0,"            Es solo lo que aparece en la foto, no viene ningun repuesto, ni mopa extra          ",5.0
linio,hogar,349990.0,"            Muy recomendable, ideal para casa con mascotas, maravillosa, llego mucho antes, solo 2 dias          ",5.0
linio,videojuegos,84900.0,            Originales y muy buena calidad          ,5.0
linio,videojuegos,77990.0,"            Producto en excelente estado, me llego muy rapido, en solo dos dias Muy buen mouse!          ",5.0
linio,belleza,55490.0,            Lastima la demora de entrega          ,5.0
linio,belleza,80990.0,            Seductor          ,5.0
linio,belleza,34990.0,            Buena entrega          ,5.0
linio,belleza,24990.0,            Excelente          ,5.0
linio,belleza,29870.0,            buenos precios          ,5.0
linio,belleza,25990.0,            Excelente          ,3.0
linio,belleza,54490.0,            EXCELENTE LLEGO antes de lo previstoTODO BIEN          ,5.0
linio,belleza,22990.0,            excelente          ,5.0
linio,belleza,25100.0,            Llego alas 10 de la noche el pedido          ,5.0
linio,belleza,31500.0,            Muy bueno! Se demoro en llegar pero esta muy rico el perfume          ,5.0
linio,belleza,69990.0,            Llego muy rapido y maravilloso perfume          ,5.0
linio,belleza,71300.0,            entrega rapida excelente          ,5.0
linio,belleza,59990.0,            Totalmente recomendable          ,5.0
linio,belleza,21800.0,"            este producto que llego a mi casa es falsificado, aroma similar pero su fijacion no va mas alla de lo que dura el alcohol en absorberse, sugiero no comprar jamas a esta tienda          ",5.0
linio,belleza,32990.0,            no trae el sello de producto original          ,5.0
linio,belleza,45790.0,            excelente muy confiable          ,5.0
linio,tecnologia,499990.0,"            Me llego al otro dia de comprarlo, producto en buen estado solo algun detalle de bolsillo pero perfecto          ",5.0
linio,tecnologia,154990.0,"            Excelente, buen sonido y duracion de bateria Muy comodos          ",5.0
linio,tecnologia,77990.0,"            No hay respuesta del producto, mas de 14 dias esperando y nada, compre otras cosas dos dias despues y ya las tengo en mano, no se que pasa          ",5.0
linio,hogar,119990.0,            y          ,5.0
linio,hogar,149990.0,"            Es una silla comoda y de buen material, sin embargo no es reclinable como lo hace ver el anuncio Ademas, las ruedas no son muy dociles          ",5.0
linio,hogar,239990.0,"            Cumple con lo que se ofrece, lo bueno es que es muy silenciosa y mantiene los pisos bastante bien si se ocupa regularmente Si el piso esta muy sucio o tiene manchas pegadas, lo recomendable es limpiar primero y luego mantener con la brava Basicamente es como la roomba no tiene la potencia ni el detalle que es limpiar con una aspiradora tradicional o mopa; pero si se usa regularmente mantiene todo bastante limpio Un detalle no se va a su base de carga automaticamente Por mi experiencia creo que lo productos iRobot son mejores que la competencia          ",5.0
linio,hogar,291900.0,"            Llego en el tiempo indicado, facil de instalar y la App para su funcionamiento tambien Apira de maravilla          ",5.0
linio,hogar,509990.0,            Excelente producto supero mis expectativas y ademas a un precio inferior que en las grandes tiendasllego rapidisimo          ,5.0
linio,hogar,219990.0,            Excelente!          ,5.0
linio,tecnologia,139990.0,            Audifonos con calidad de diadema por un tamano minimalista y un precio no tan elevado Me siento realmente satisfecho          ,5.0
linio,videojuegos,154990.0,"            Excelente, buen sonido y duracion de bateria Muy comodos          ",5.0
linio,videojuegos,77990.0,"            No hay respuesta del producto, mas de 14 dias esperando y nada, compre otras cosas dos dias despues y ya las tengo en mano, no se que pasa          ",5.0
linio,belleza,34990.0,            Gran producto y muy rapido su entrega          ,5.0
linio,belleza,29870.0,            Buen producto          ,5.0
linio,belleza,25990.0,            Es rico pero Tiene un aroma muy suave En mi caso tengo que aplicarme mucho para que se sienta          ,5.0
linio,belleza,18990.0,            Llego antes de lo esperado          ,5.0
linio,belleza,54490.0,            Excelente          ,5.0
linio,belleza,25100.0,"            Llego rapido y muy bien empaquetado,  Increible fijacion, un aroma fresco , avainillado , muy sexy , dura muchas horas en la piel          ",3.0
linio,belleza,53000.0,"            no es original, ojo          ",5.0
linio,belleza,57000.0,            Rapido y buen producto          ,5.0
linio,belleza,21800.0,            muy bueno          ,1.0
linio,tecnologia,239990.0,            Me ofrecen cupon por el retraso de mi envio 2 meses pero bueno falabella cree en ellos          ,5.0
linio,tecnologia,77990.0,            Muy buen producto y llego muy rapido          ,1.0
linio,hogar,119990.0,            Excelente todo la entrega fue antes de lo ofrecido por lo que lo hace mucho mejor          ,5.0
linio,hogar,239990.0,            no le tenia fe pero me sorprendio          ,5.0
linio,hogar,291900.0,"            Sobrepaso mis expectativas Muy buen producto Facil de usar, facil de limpiar Mapea la casa y segun esos mapas se puede delimitar el area a limpiar, saber donde a limpiado y donde no          ",5.0
linio,videojuegos,77990.0,            Muy buen producto y llego muy rapido          ,1.0
linio,belleza,82000.0,            Producto llego antes del tiempo programado!!          ,5.0
linio,belleza,24990.0,            Aun sigo esperando el perfume          ,5.0
linio,belleza,12990.0,            buen producto          ,5.0
linio,belleza,28400.0,            rapidez          ,5.0
linio,belleza,54999.0,            Buen producto          ,5.0
linio,belleza,18000.0,            Excelente oferta gracias          ,5.0
linio,belleza,18000.0,            todo ok          ,5.0
linio,belleza,25990.0,"            Todo bien Perfume original, muy buen aroma          ",5.0
linio,belleza,23000.0,"            me encanto , la entrega super rapida los felicito          ",5.0
linio,belleza,22990.0,            Super rapido y es exacto al que tuve hace anos          ,5.0
linio,belleza,66990.0,            Lo compre para regalo para mi marido y estaba muy contentogracias          ,5.0
linio,belleza,37490.0,"            Muy buena la aplicacion, comoda y entera a la brevedad, muy recomendable          ",5.0
linio,belleza,53000.0,            Llego dentro de los plazos          ,1.0
linio,belleza,32790.0,"            Llego antes de lo esperado Buena calidad del producto, rico aroma y buena fijacion igual a uno comprado tiempo atras en tienda Gracias          ",5.0
linio,belleza,21800.0,            Todo en perfecto estado          ,5.0
linio,belleza,45790.0,            Llego a tiempo muchas gracias          ,5.0
linio,tecnologia,239990.0,"            Muy buen celular, calidad, precio recomendado          ",1.0
linio,hogar,149990.0,"            mi hijo quedo feliz con su silla, muy linda pero lo que no nos gusto fue que no tiene muchas reclinaciones, la silla esta sumamente recta o super acostada, no tiene termino medio          ",3.0
linio,hogar,239990.0,            Excelente producto pero la entrega terrible          ,5.0
linio,hogar,349990.0,"            Lo primero es que llego en 3 dias, mucho antes de los esperado y eso hay q felicitarlo y lo segundo es que excelente sobre todo para los pelos de gato Muy buena compra          ",5.0
linio,tecnologia,219990.0,            estan geniales          ,5.0
linio,videojuegos,84900.0,            impecable          ,5.0
linio,belleza,24990.0,"            Excelente producto, llego antes de lo esperado          ",1.0
linio,belleza,32790.0,            Muy buen producto          ,5.0
linio,belleza,22990.0,            Exquisita fragancia dulce          ,5.0
linio,belleza,66990.0,            chanchon          ,5.0
linio,belleza,65000.0,"            Me encanto el perfume, lo probe y tiene buena fijacion, asi que muy feliz, gracias          ",5.0
